연번,대분류,항목명,중분류,코드,소분류,항목명,세분류,real항목,세세분류,항목
127,,,,,,,1392,"끈, 로프, 망 및 끈가공품 제조업",13921,끈 및 로프 제조업
128,,,,,,,,,13922,어망 및 기타 끈가공품 제조업
129,,,,,,,1399,그외 기타 섬유제품 제조업,13991,세폭직물 제조업
130,,,,,,,,,13992,부직포 및 펠트 제조업
131,,,,,,,,,13993,특수사 및 코드직물 제조업
132,,,,,,,,,13994,적층 및 표면처리 직물 제조업
133,,,,,,,,,13999,그외 기타 분류안된 섬유제품 제조업
134,,,14,"의복, 의복액세서리 및 모피제품 제조업",141,봉제의복 제조업,1411,정장 제조업,14111,남자용 정장 제조업
135,,,,,,,,,14112,여자용 정장 제조업
136,,,,,,,1412,내의 및 잠옷 제조업,14120,내의 및 잠옷 제조업
137,,,,,,,1413,한복 제조업,14130,한복 제조업
138,,,,,,,1419,기타 봉제의복 제조업,14191,셔츠 및 체육복 제조업
139,,,,,,,,,14192,"근무복, 작업복 및 유사의복 제조업"
140,,,,,,,,,14193,가죽의복 제조업
141,,,,,,,,,14194,유아용 의복 제조업
142,,,,,,,,,14199,그외 기타 봉제의복 제조업
143,,,,,142,모피가공 및 모피제품 제조업,1420,모피가공 및 모피제품 제조업,14201,원모피 가공업
144,,,,,,,,,14202,천연모피제품 제조업
145,,,,,,,,,14203,인조모피 및 인조모피 제품 제조업
146,,,,,143,편조의복 제조업,1430,편조의복 제조업,14300,편조의복 제조업
147,,,,,144,의복 액세서리 제조업,1441,편조의복 액세서리 제조업,14411,스타킹 및 기타양말 제조업
148,,,,,,,,,14419,기타 편조의복 액세서리 제조업
149,,,,,,,1449,기타 의복액세서리 제조업,14491,모자 제조업
150,,,,,,,,,14499,그외 기타 의복액세서리 제조업
151,,,15,"가죽, 가방 및 신발 제조업",151,"가죽, 가방 및 유사제품 제조업",1511,원피가공 및 가죽 제조업,15110,원피가공 및 가죽 제조업
152,,,,,,,1512,"핸드백, 가방 및 기타 보호용 케이스 제조업",15121,핸드백 및 지갑 제조업
153,,,,,,,,,15129,가방 및 기타 보호용 케이스 제조업
154,,,,,,,1519,기타 가죽제품 제조업,15190,기타 가죽제품 제조업
155,,,,,152,신발 및 신발부분품 제조업,1521,신발제조업,15211,구두류 제조업
156,,,,,,,,,15219,기타 신발 제조업
157,,,,,,,1522,신발부분품 제조업,15220,신발부분품 제조업
158,,,16,목재 및 나무제품 제조업;가구제외,161,제재 및 목재 가공업,1610,제재 및 목재 가공업,16101,일반 제재업
159,,,,,,,,,16102,표면가공목재 및 특정 목적용 제재목 제조업
160,,,,,,,,,16103,"목재 보존, 방부처리, 도장 및 유사 처리업"
161,,,,,162,나무제품 제조업,1621,"박판, 합판 및 강화목제품 제조업",16211,"박판, 합판 및 유사적층판 제조업"
162,,,,,,,,,16212,강화 및 재생 목재 제조업
163,,,,,,,1622,건축용 나무제품 제조업,16221,목재문 및 관련제품 제조업
164,,,,,,,,,16229,기타 건축용 나무제품 제조업
165,,,,,,,1623,"목재 상자, 드럼 및 적재판 제조업",16231,목재 깔판류 및 기타 적재판 제조업
166,,,,,,,,,16232,"목재 포장용 상자, 드럼 및 유사용기 제조업"
167,,,,,,,1629,기타 나무제품 제조업,16291,목재 도구 및 기구 제조업
168,,,,,,,,,16292,주방용 및 식탁용 목제품 제조업
169,,,,,,,,,16293,장식용 목제품 제조업
170,,,,,,,,,16299,그외 기타 나무제품 제조업
171,,,,,163,코르크 및 조물 제품 제조업,1630,코르크 및 조물 제품 제조업,16301,코르크 제품 제조업
172,,,,,,,,,16302,돗자리 및 기타 조물제품 제조업
173,,,17,"펄프, 종이 및 종이제품 제조업",171,"펄프, 종이 및 판지 제조업",1711,펄프 제조업,17110,펄프 제조업
174,,,,,,,1712,종이 및 판지 제조업,17121,신문용지 제조업
175,,,,,,,,,17122,인쇄 및 필기용 원지 제조업
176,,,,,,,,,17123,크라프트지 및 상자용 판지 제조업
177,,,,,,,,,17124,"적층, 합성 및 특수표면처리 종이 제조업"
178,,,,,,,,,17129,기타 종이 및 판지 제조업
179,,,,,172,"골판지, 종이 상자 및 종이 용기 제조업",1721,골판지 및 골판지상자 제조업,17210,골판지 및 골판지상자 제조업
180,,,,,,,1722,"종이포대, 판지상자 및 종이용기 제조업",17221,종이 포대 및 가방 제조업
181,,,,,,,,,17222,판지 상자 및 용기 제조업
182,,,,,,,,,17223,식품 위생용 종이 상자 및 용기 제조업
183,,,,,,,,,17229,기타 종이 상자 및 용기 제조업
184,,,,,179,기타 종이 및 판지 제품 제조업,1790,기타 종이 및 판지 제품 제조업,17901,문구용 종이제품 제조업
185,,,,,,,,,17902,위생용 종이제품 제조업
186,,,,,,,,,17903,벽지 및 장판지 제조업
187,,,,,,,,,17909,그외 기타 종이 및 판지 제품 제조업
188,,,18,인쇄 및 기록매체 복제업,181,인쇄 및 인쇄관련 산업,1811,인쇄업,18111,경 인쇄업
189,,,,,,,,,18112,스크린 인쇄업
190,,,,,,,,,18119,기타 인쇄업
191,,,,,,,1812,인쇄관련 산업,18121,제판 및 조판업
192,,,,,,,,,18122,제책업
193,,,,,,,,,18129,기타 인쇄관련 산업
194,,,,,182,기록매체 복제업,1820,기록매체 복제업,18200,기록매체 복제업
195,,,19,"코크스, 연탄 및 석유정제품 제조업",191,코크스 및 연탄 제조업,1910,코크스 및 연탄 제조업,19101,코크스 및 관련제품 제조업
196,,,,,,,,,19102,연탄 및 기타 석탄 가공품 제조업
197,,,,,192,석유 정제품 제조업,1921,원유 정제처리업,19210,원유 정제처리업
198,,,,,,,1922,석유정제물 재처리업,19221,윤활유 및 그리스 제조업
199,,,,,,,,,19229,기타 석유정제물 재처리업
200,,,20,화학물질 및 화학제품 제조업;의약품 제외,201,기초화학물질 제조업,2011,기초유기화학물질 제조업,20111,석유화학계 기초화학물질 제조업
201,,,,,,,,,20112,천연수지 및 나무화학물질 제조업
202,,,,,,,,,20119,기타 기초유기화학물질 제조업
203,,,,,,,2012,기초 무기화학물질 제조업,20121,산업용 가스 제조업
204,,,,,,,,,20129,기타 기초무기화학물질 제조업
205,,,,,,,2013,"무기안료, 염료, 유연제 및 기타착색제 제조업",20131,무기안료 및 기타금속산화물 제조업
