연번,대분류,항목명,중분류,코드,소분류,항목명,세분류,real항목,세세분류,항목
742,,,,,,,,,47999,그외 기타 무점포 소매업
743,H,운수업(49~52),49,육상운송 및 파이프라인 운송업,491,철도운송업,4910,철도운송업,49100,철도운송업
744,,,,,492,육상 여객 운송업,4921,도시 정기 육상 여객 운송업,49211,도시철도 운송업
745,,,,,,,,,49212,시내버스 운송업
746,,,,,,,,,49219,기타 도시 정기 육상 여객 운송업
747,,,,,,,4922,시외버스 운송업,49220,시외버스 운송업
748,,,,,,,4923,부정기 여객 육상 운송업,49231,택시 운송업
749,,,,,,,,,49232,전세버스 운송업
750,,,,,,,,,49233,장의차량 운영업
751,,,,,,,,,49239,기타 부정기 여객 육상 운송업
752,,,,,493,도로 화물 운송업,4931,화물자동차 운송업,49311,일반 화물자동차 운송업
753,,,,,,,,,49312,용달 및 개별 화물자동차 운송업
754,,,,,,,4939,기타 도로화물 운송업,49390,기타 도로화물 운송업
755,,,,,494,소화물 전문 운송업,4940,소화물 전문 운송업,49401,택배업
756,,,,,,,,,49402,늘찬 배달업
757,,,,,495,파이프라인 운송업,4950,파이프라인 운송업,49500,파이프라인 운송업
758,,,50,수상 운송업,501,해상 운송업,5011,외항 운송업,50111,외항 여객 운송업
759,,,,,,,,,50112,외항 화물 운송업
760,,,,,,,5012,내항 운송업,50121,내항 여객 운송업
761,,,,,,,,,50122,내항 화물 운송업
762,,,,,,,5013,기타 해상 운송업,50130,기타 해상 운송업
763,,,,,502,내륙 수상 및 항만내 운송업,5020,내륙 수상 및 항만내 운송업,50201,내륙 수상 여객 운송업
764,,,,,,,,,50202,내륙 수상 화물 운송업
765,,,,,,,,,50203,항만내 운송업
766,,,,,,,,,50209,기타 내륙 수상 및 항만내 운송업
767,,,51,항공 운송업,511,정기 항공 운송업,5110,정기 항공 운송업,51100,정기 항공 운송업
768,,,,,512,부정기 항공 운송업,5120,부정기 항공 운송업,51200,부정기 항공 운송업
769,,,52,창고 및 운송관련 서비스업,521,보관 및 창고업,5210,보관 및 창고업,52101,일반 창고업
770,,,,,,,,,52102,냉장 및 냉동 창고업
771,,,,,,,,,52103,농산물 창고업
772,,,,,,,,,52104,위험물품 보관업
773,,,,,,,,,52109,기타 보관 및 창고업
774,,,,,529,기타 운송관련 서비스업,5291,육상 운송지원 서비스업,52911,철도 운송지원 서비스업
775,,,,,,,,,52912,여객 자동차 터미널 운영업
776,,,,,,,,,52913,화물 자동차 터미널 운영업
777,,,,,,,,,52914,도로 및 관련시설 운영업
778,,,,,,,,,52915,주차장 운영업
779,,,,,,,,,52919,기타 육상 운송지원 서비스업
780,,,,,,,5292,수상 운송지원 서비스업,52921,항구 및 기타 해상 터미널 운영업
781,,,,,,,,,52929,기타 수상 운송지원 서비스업
782,,,,,,,5293,항공 운송지원 서비스업,52931,공항 운영업
783,,,,,,,,,52939,기타 항공 운송지원 서비스업
784,,,,,,,5294,화물 취급업,52941,항공 및 육상 화물 취급업
785,,,,,,,,,52942,수상 화물 취급업
786,,,,,,,5299,그외 기타 운송관련 서비스업,52991,"화물운송 중개, 대리 및 관련서비스업"
787,,,,,,,,,52992,"화물포장, 검수 및 형량 서비스업"
788,,,,,,,,,52999,그외 기타 분류안된 운송관련 서비스업
789,I,숙박 및 음식점업 (55 ~ 56),55,숙박업,551,숙박시설 운영업,5511,관광숙박시설 운영업,55111,호텔업
790,,,,,,,,,55112,여관업
791,,,,,,,,,55113,휴양콘도 운영업
792,,,,,,,,,55114,청소년수련시설 운영업
793,,,,,,,,,55119,기타 관광숙박시설 운영업
794,,,,,559,기타 숙박업,5590,기타 숙박업,55901,기숙사 운영업
795,,,,,,,,,55909,그외 기타 숙박업
796,,,56,음식점 및 주점업,561,음식점업,5611,일반 음식점업,56111,한식 음식점업
797,,,,,,,,,56112,중식 음식점업
798,,,,,,,,,56113,일식 음식점업
799,,,,,,,,,56114,서양식 음식점업
800,,,,,,,,,56119,기타 외국식 음식점업
801,,,,,,,5612,기관구내식당업,56120,기관구내식당업
802,,,,,,,5613,출장 및 이동 음식업,56131,출장 음식 서비스업
803,,,,,,,,,56132,이동 음식업
804,,,,,,,5619,기타 음식점업,56191,제과점업
805,,,,,,,,,56192,"피자, 햄버거, 샌드위치 및 유사 음식점업"
806,,,,,,,,,56193,치킨 전문점
807,,,,,,,,,56194,분식 및 김밥 전문점
808,,,,,,,,,56199,그외 기타 음식점업
809,,,,,562,주점 및 비알콜음료점업,5621,주점업,56211,일반유흥 주점업
810,,,,,,,,,56212,무도유흥 주점업
811,,,,,,,,,56219,기타 주점업
812,,,,,,,5622,비알콜 음료점업,56220,비알콜 음료점업
813,J,"출판, 영상, 방송통신 및 정보서비스업 (58 ~ 63)",58,출판업,581,"서적, 잡지 및 기타 인쇄물 출판업",5811,서적 출판업,58111,교과서 및 학습서적 출판업
814,,,,,,,,,58112,만화 출판업
815,,,,,,,,,58119,기타 서적 출판업
816,,,,,,,5812,"신문, 잡지 및 정기간행물 출판업",58121,신문 발행업
817,,,,,,,,,58122,잡지 및 정기간행물 발행업
818,,,,,,,,,58123,정기 광고간행물 발행업
819,,,,,,,5819,기타 인쇄물 출판업,58190,기타 인쇄물 출판업
820,,,,,582,소프트웨어 개발 및 공급업,5821,게임 소프트웨어 개발 및 공급업,58211,온라인·모바일 게임 소프트웨어 개발 및 공급업
821,,,,,,,,,58219,기타 게임 소프트웨어 개발 및 공급업
822,,,,,,,5822,시스템·응용 소프트웨어 개발 및 공급업,58221,시스템 소프트웨어 개발 및 공급업
823,,,,,,,,,58222,응용소프트웨어 개발 및 공급업
824,,,59,영상·오디오 기록물 제작 및 배급업,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",5911,"영화, 비디오물 및 방송프로그램 제작업",59111,일반 영화 및 비디오물 제작업
825,,,,,,,,,59112,애니메이션 영화 및 비디오물 제작업
826,,,,,,,,,59113,광고 영화 및 비디오물 제작업
827,,,,,,,,,59114,방송 프로그램 제작업
828,,,,,,,5912,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",59120,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업"
829,,,,,,,5913,"영화, 비디오물 및 방송프로그램 배급업",59130,"영화, 비디오물 및 방송프로그램 배급업"
830,,,,,,,5914,영화 및 비디오물 상영업,59141,영화관 운영업
831,,,,,,,,,59142,비디오물 감상실 운영업
832,,,,,592,오디오물 출판 및 원판 녹음업,5920,오디오물 출판 및 원판 녹음업,59201,음악 및 기타 오디오물 출판업
833,,,,,,,,,59202,녹음시설 운영업
834,,,60,방송업,601,라디오 방송업,6010,라디오 방송업,60100,라디오 방송업
835,,,,,602,텔레비전 방송업,6021,지상파 방송업,60210,지상파 방송업
836,,,,,,,6022,"유선, 위성 및 기타 방송업",60221,프로그램 공급업
837,,,,,,,,,60222,유선방송업
838,,,,,,,,,60229,위성 및 기타 방송업
839,,,61,통신업,611,우편업,6110,우편업,61100,우편업
840,,,,,612,전기통신업,6121,유선통신업,61210,유선통신업
841,,,,,,,6122,무선통신업,61220,무선통신업
842,,,,,,,6123,위성통신업,61230,위성통신업
843,,,,,,,6129,기타 전기통신업,61291,통신 재판매업
844,,,,,,,,,61299,그외 기타 전기 통신업
845,,,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",6201,컴퓨터 프로그래밍 서비스업,62010,컴퓨터 프로그래밍 서비스업
846,,,,,,,6202,"컴퓨터시스템 통합 자문, 구축 및 관리업",62021,컴퓨터시스템 통합 자문 및 구축 서비스업
847,,,,,,,,,62022,컴퓨터시설 관리업
848,,,,,,,6209,기타 정보기술 및 컴퓨터운영 관련 서비스업,62090,기타 정보기술 및 컴퓨터운영 관련 서비스업
849,,,63,정보서비스업,631,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",6311,"자료처리, 호스팅 및 관련 서비스업",63111,자료 처리업
850,,,,,,,,,63112,호스팅 및 관련 서비스업
851,,,,,,,6312,포털 및 기타 인터넷 정보매개 서비스업,63120,포털 및 기타 인터넷 정보매개 서비스업
852,,,,,639,기타 정보 서비스업,6391,뉴스 제공업,63910,뉴스 제공업
853,,,,,,,6399,그외 기타 정보 서비스업,63991,데이터베이스 및 온라인정보 제공업
854,,,,,,,,,63999,그외 기타 정보 서비스업
855,K,금융 및 보험업 (64 ~ 66),64,금융업,641,은행 및 저축기관,6411,중앙은행,64110,중앙은행
856,,,,,,,6412,일반은행,64121,국내은행
857,,,,,,,,,64122,외국은행
858,,,,,,,6413,신용조합 및 저축기관,64131,신용조합
859,,,,,,,,,64132,상호저축은행
860,,,,,,,,,64139,기타 저축기관
861,,,,,642,투자기관,6420,투자기관,64201,자산운용회사
862,,,,,,,,,64209,기타 투자기관
863,,,,,649,기타 금융업,6491,여신금융업,64911,금융리스업
864,,,,,,,,,64912,개발금융기관
865,,,,,,,,,64913,신용카드 및 할부금융업
866,,,,,,,,,64919,그외 기타 여신금융업
867,,,,,,,6499,그외 기타 금융업,64991,기금 운영업
868,,,,,,,,,64992,금융지주회사
869,,,,,,,,,64999,그외 기타 분류안된 금융업
870,,,65,보험 및 연금업,651,보험업,6511,생명 보험업,65110,생명 보험업
871,,,,,,,6512,손해 및 보증 보험업,65121,손해 보험업
872,,,,,,,,,65122,보증 보험업
873,,,,,,,6513,사회보장 보험업,65131,건강 보험업
874,,,,,,,,,65139,산업재해 및 기타 사회보장 보험업
875,,,,,652,재 보험업,6520,재 보험업,65200,재 보험업
876,,,,,653,연금 및 공제업,6530,연금 및 공제업,65301,개인 공제업
877,,,,,,,,,65302,사업 공제업
878,,,,,,,,,65303,연금업
879,,,66,금융 및 보험 관련 서비스업,661,금융지원 서비스업,6611,금융시장 관리업,66110,금융시장 관리업
880,,,,,,,6612,증권 및 선물 중개업,66121,증권 중개업
881,,,,,,,,,66122,선물 중개업
882,,,,,,,6619,기타 금융지원 서비스업,66191,유가증권 관리 및 보관업
883,,,,,,,,,66192,투자 자문업
884,,,,,,,,,66199,그외 기타 금융지원 서비스업
885,,,,,662,보험 및 연금관련 서비스업,6620,보험 및 연금관련 서비스업,66201,손해사정업
886,,,,,,,,,66202,보험대리 및 중개업
887,,,,,,,,,66209,기타 보험 및 연금관련 서비스업
888,L,부동산업 및 임대업 (68 ~ 69),68,부동산업,681,부동산 임대 및 공급업,6811,부동산 임대업,68111,주거용 건물 임대업
889,,,,,,,,,68112,비주거용 건물 임대업
890,,,,,,,,,68119,기타 부동산 임대업
891,,,,,,,6812,부동산 개발 및 공급업,68121,주거용 건물 개발 및 공급업
892,,,,,,,,,68122,비주거용 건물 개발 및 공급업
893,,,,,,,,,68129,기타 부동산 개발 및 공급업
894,,,,,682,부동산 관련 서비스업,6821,부동산 관리업,68211,주거용 부동산 관리업
895,,,,,,,,,68212,비주거용 부동산 관리업
896,,,,,,,6822,부동산 중개 및 감정평가업,68221,부동산 자문 및 중개업
897,,,,,,,,,68222,부동산 감정평가업
898,,,69,임대업;부동산 제외,691,운송장비 임대업,6911,자동차 임대업,69110,자동차 임대업
899,,,,,,,6919,기타 운송장비 임대업,69190,기타 운송장비 임대업
900,,,,,692,개인 및 가정용품 임대업,6921,스포츠 및 레크레이션 용품 임대업,69210,스포츠 및 레크레이션 용품 임대업
901,,,,,,,6922,음반 및 비디오물 임대업,69220,음반 및 비디오물 임대업
902,,,,,,,6929,기타 개인 및 가정용품 임대업,69291,서적 임대업
903,,,,,,,,,69292,의류 임대업
904,,,,,,,,,69299,그외 기타 개인 및 가정용품 임대업
905,,,,,693,산업용 기계 및 장비 임대업,6931,건설 및 토목공사용 기계장비 임대업,69310,건설 및 토목공사용 기계장비 임대업
906,,,,,,,6932,컴퓨터 및 사무용 기계장비 임대업,69320,컴퓨터 및 사무용 기계장비 임대업
907,,,,,,,6939,기타 산업용 기계 및 장비 임대업,69390,기타 산업용 기계 및 장비 임대업
908,,,,,694,무형재산권 임대업,6940,무형재산권 임대업,69400,무형재산권 임대업
909,M,"전문, 과학 및 기술 서비스업 (70 ~ 73)",70,연구개발업,701,자연과학 및 공학 연구개발업,7011,자연과학 연구개발업,70111,"물리, 화학 및 생물학 연구개발업"
910,,,,,,,,,70112,농학 연구개발업
911,,,,,,,,,70113,의학 및 약학 연구개발업
912,,,,,,,,,70119,기타 자연과학 연구개발업
913,,,,,,,7012,공학 연구개발업,70121,전기·전자공학 연구개발업
914,,,,,,,,,70129,기타 공학 연구개발업
915,,,,,702,인문 및 사회과학 연구개발업,7020,인문 및 사회과학 연구개발업,70201,경제학 연구개발업
916,,,,,,,,,70209,기타 인문 및 사회과학 연구개발업
917,,,71,전문서비스업,711,법무관련 서비스업,7110,법무관련 서비스업,71101,변호사업
918,,,,,,,,,71102,변리사업
919,,,,,,,,,71103,법무사업
920,,,,,,,,,71109,기타 법무관련 서비스업
921,,,,,712,회계 및 세무관련 서비스업,7120,회계 및 세무관련 서비스업,71201,공인회계사업
922,,,,,,,,,71202,세무사업
923,,,,,,,,,71209,기타 회계관련 서비스업
924,,,,,713,광고업,7131,광고 대행업,71310,광고 대행업
925,,,,,,,7139,기타 광고업,71391,옥외 및 전시 광고업
926,,,,,,,,,71392,광고매체 판매업
927,,,,,,,,,71393,광고물 작성업
928,,,,,,,,,71399,그외 기타 광고업
929,,,,,714,시장조사 및 여론조사업,7140,시장조사 및 여론조사업,71400,시장조사 및 여론조사업
930,,,,,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",7151,회사본부,71511,제조업 회사본부
931,,,,,,,,,71519,기타 산업 회사본부
932,,,,,,,7152,비금융 지주회사,71520,비금융 지주회사
933,,,,,,,7153,경영컨설팅 및 공공관계 서비스업,71531,경영컨설팅업
934,,,,,,,,,71532,공공관계 서비스업
935,,,72,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",721,"건축기술, 엔지니어링 및 관련기술 서비스업",7211,건축 및 조경 설계 서비스업,72111,건축설계 및 관련 서비스업
936,,,,,,,,,72112,도시계획 및 조경설계 서비스업
937,,,,,,,7212,엔지니어링 서비스업,72121,건물 및 토목엔지니어링 서비스업
938,,,,,,,,,72122,환경컨설팅 및 관련 엔지니어링 서비스업
939,,,,,,,,,72129,기타 엔지니어링 서비스업
940,,,,,729,기타 과학기술 서비스업,7291,"기술 시험, 검사 및 분석업",72911,물질성분 검사 및 분석업
941,,,,,,,,,72919,"기타 기술 시험, 검사 및 분석업"
942,,,,,,,7292,"측량, 지질조사 및 지도제작업",72921,측량업
943,,,,,,,,,72922,제도업
944,,,,,,,,,72923,지질조사 및 탐사업
945,,,,,,,,,72924,지도제작업
946,,,73,"기타 전문, 과학 및 기술 서비스업",731,수의업,7310,수의업,73100,수의업
947,,,,,732,전문디자인업,7320,전문디자인업,73201,인테리어 디자인업
948,,,,,,,,,73202,제품 디자인업
949,,,,,,,,,73203,시각 디자인업
950,,,,,,,,,73209,기타 전문 디자인업
951,,,,,733,사진 촬영 및 처리업,7330,사진 촬영 및 처리업,73301,인물사진 및 행사용비디오 촬영업
952,,,,,,,,,73302,상업용 사진 촬영업
953,,,,,,,,,73303,사진 처리업
954,,,,,739,"그외 기타 전문, 과학 및 기술 서비스업",7390,"그외 기타 전문, 과학 및 기술 서비스업",73901,매니저업
955,,,,,,,,,73902,번역 및 통역서비스업
956,,,,,,,,,73903,사업 및 무형 재산권 중개업
957,,,,,,,,,73904,"물품감정, 계량 및 견본 추출업"
958,,,,,,,,,73909,"그외 기타 분류안된 전문, 과학 및 기술 서비스업"
959,N,사업시설관리 및 사업지원 서비스업 (74 ~ 75),74,사업시설 관리 및 조경 서비스업,741,사업시설 유지관리 서비스업,7410,사업시설 유지관리 서비스업,74100,사업시설 유지관리 서비스업
960,,,,,742,건물·산업설비 청소 및 방제 서비스업,7421,건물 및 산업설비 청소업,74211,건축물 일반 청소업
961,,,,,,,,,74212,사업시설 및 산업용품 청소업
962,,,,,,,7422,"소독, 구충 및 방제 서비스업",74220,"소독, 구충 및 방제 서비스업"
963,,,,,743,조경 관리 및 유지 서비스업,7430,조경 관리 및 유지 서비스업,74300,조경 관리 및 유지 서비스업
964,,,75,사업지원 서비스업,751,인력공급 및 고용알선업,7511,고용알선업,75110,고용알선업
965,,,,,,,7512,인력공급업,75120,인력공급업
966,,,,,752,여행사 및 기타 여행보조 서비스업,7521,여행사업,75211,일반 및 국외 여행사업
967,,,,,,,,,75212,국내 여행사업
968,,,,,,,7529,기타 여행보조 및 예약 서비스업,75290,기타 여행보조 및 예약 서비스업
969,,,,,753,"경비, 경호 및 탐정업",7531,경비 및 경호 서비스업,75310,경비 및 경호 서비스업
970,,,,,,,7532,보안시스템 서비스업,75320,보안시스템 서비스업
971,,,,,,,7533,탐정 및 조사 서비스업,75330,탐정 및 조사 서비스업
972,,,,,759,기타 사업지원 서비스업,7591,사무지원 서비스업,75911,문서 작성업
973,,,,,,,,,75912,복사업
974,,,,,,,,,75919,기타 사무지원 서비스업
975,,,,,,,7599,그외 기타 사업지원 서비스업,75991,콜센터 및 텔레마케팅 서비스업
976,,,,,,,,,75992,전시 및 행사 대행업
977,,,,,,,,,75993,신용조사 및 추심 대행업
978,,,,,,,,,75994,포장 및 충전업
979,,,,,,,,,75999,그외 기타 분류안된 사업지원 서비스업
980,O,"공공행정, 국방 및 사회보장 행정(84)",84,"공공행정, 국방 및 사회보장 행정",841,입법 및 일반 정부 행정,8411,일반 공공 행정,84111,입법기관
981,,,,,,,,,84112,중앙 최고 집행기관
982,,,,,,,,,84113,지방행정 집행기관
983,,,,,,,,,84114,재정 및 경제정책 행정
984,,,,,,,,,84119,기타 일반 공공 행정
985,,,,,,,8412,정부기관 일반 보조 행정,84120,정부기관 일반 보조 행정
986,,,,,842,사회 및 산업정책 행정,8421,사회서비스 관리 행정,84211,교육 행정
987,,,,,,,,,84212,문화 및 관광 행정
988,,,,,,,,,84213,환경 행정
989,,,,,,,,,84214,보건 및 복지 행정
990,,,,,,,,,84219,기타 사회서비스 관리 행정
991,,,,,,,8422,노동 및 산업진흥 행정,84221,노동 행정
992,,,,,,,,,84222,농림수산 행정
993,,,,,,,,,84223,건설 및 운송 행정
994,,,,,,,,,84224,통신 행정
995,,,,,,,,,84229,기타 산업진흥 행정
996,,,,,843,외무 및 국방 행정,8431,외무 행정,84310,외무 행정
997,,,,,,,8432,국방 행정,84320,국방 행정
다음...,,,,,,,,,,
